violation_code,short_label
48-25,Animal feces
48-30,Weeds / overgrowth
48-32,Trash / debris
56-132 (B),Exterior walls
56-133,Roofing disrepair
48-27,Unlicensed vehicle
48-28,Improper parking
56-573,Vacant - unregistered
56-132 (C),Exterior surface
56-135,Awning disrepair
56-352,Rental - unregistered
56-93,Loose baluster
56-113,Accessory structure
56-114,Fence / wall
56-132,Exterior surface
56-132 (A),Missing siding
48-46(c),Graffiti
48-35,RV / boat parking
48-29,Hazardous tree
48-68 (3),Trash in right-of-way
48-31,Open structure
56-189,Drain obstructed
56-163,Dirty ceiling
56-134,Weatherproofing
